SampleName	SampleID	occurence
15399	GB01000941S	7858
11952	GB01007668S	13079
7391	GB01009755S	26948
16556	GB01000162S	4876
2939	GB01017475S	54675
17144	GB01010777S	2957
18392	GB01020627S	647
11606	GB01015805S	13765
6102	GB01011077S	33006
11981	GB01009192S	13010
12703	GB01024200S	11845
4412	GB01003736S	42734
12922	GB01019121S	11584
3800	GB01012871S	47079
1120	GB01015501S	107071
592	GB01002758S	152246
12283	GB01013878S	12463
15622	GB01013796S	7369
9395	GB01000889S	19842
3063	GB01000872S	53536
8368	GB01023356S	23220
811	GB01000053S	130204
18370	GB01020957S	667
5403	GB01023406S	36921
6863	GB01011446S	29188
17204	GB01013807S	2777
16257	GB01002329S	5767
10773	GB01002998S	15963
1270	GB01000371S	98235
7680	GB01002963S	25763
1647	GB01000694S	81061
13676	GB01010287S	10604
10948	GB01024193S	15469
13425	GB01020155S	10929
10915	GB01012638S	15577
13318	GB01018966S	11065
9908	GB01009266S	18470
12010	GB01019032S	12946
2508	GB01017661S	59621
14319	GB01018397S	9693
5311	GB01016843S	37544
12017	GB01019002S	12923
13925	GB01018784S	10267
10649	GB01011013S	16361
7032	GB01001885S	28431
6538	GB01010152S	30837
5813	GB01023744S	34564
5610	GB01024120S	35725
12131	GB01012439S	12704
2481	GB01017722S	60052
11937	GB01004091S	13110
5120	GB01018093S	38674
9456	GB01010552S	19684
3086	GB01011720S	53249
6964	GB01011858S	28732
18355	GB01023035S	687
9846	GB01008828S	18626
16578	GB01017063S	4789
17335	GB01016968S	2426
2891	GB01008040S	55191
9506	GB01014006S	19553
6613	GB01010812S	30498
320	GB01003309S	190954
8711	GB01002954S	22032
10001	GB01011169S	18162
8509	GB01013183S	22675
8525	GB01002943S	22624
16520	GB01017172S	4984
17948	GB01021591S	1262
10523	GB01014056S	16682
17260	GB01017139S	2619
16589	GB01017308S	4733
17226	GB01016887S	2723
14139	GB01024186S	9966
14437	GB01013778S	9512
9163	GB01008818S	20507
1916	GB01001091S	72646
17739	GB01004725S	1568
7586	GB01023583S	26171
6924	GB01023984S	28936
2848	GB01023933S	55725
8969	GB01013233S	21148
15737	GB01002298S	7075
18100	GB01021107S	1079
11885	GB01020302S	13214
16709	GB01017264S	4309
13438	GB01019323S	10916
1664	GB01000039S	80296
14471	GB01018996S	9463
13872	GB01019016S	10334
13459	GB01012492S	10888
14762	GB01002158S	9053
11137	GB01018991S	14936
12698	GB01018416S	11848
14058	GB01019416S	10080
10092	GB01009200S	17893
3951	GB01016342S	45920
568	GB01000243S	155504
10206	GB01008886S	17544
11795	GB01013692S	13378
9656	GB01011413S	19151
5738	GB01003777S	34950
14860	GB01019948S	8886
7183	GB01011061S	27803
7485	GB01008380S	26611
17120	GB01017297S	3035
190	GB01002797S	224187
1020	GB01001087S	113346
10415	GB01009167S	16941
14577	GB01007300S	9308
18031	GB01007516S	1164
17944	GB01017288S	1268
3592	GB01017892S	48683
13791	GB01009366S	10459
15715	GB01018785S	7135
15137	GB01024418S	8388
10739	GB01009317S	16077
11261	GB01010227S	14613
16610	GB01021751S	4650
18361	GB01021704S	678
16445	GB01013766S	5219
6756	GB01012326S	29739
12688	GB01018649S	11856
7481	GB01010838S	26616
